date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:14	10804/10804	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268f24fb6-81ed%22	https://vectorbt.pro/robots.txt		(from )
10:40:14	406/406	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-196%22	https://vectorbt.pro/pvt_41531c19/features/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/index.html	(from )
10:40:14	40389/40389	U-----	200	untouched ('OK')	text/html	etag:W/%2268f24fb6-9dc5%22	https://vectorbt.pro/pvt_41531c19/features/overview/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/overview/index.html	(from https://vectorbt.pro/pvt_41531c19/features/)
10:40:16	91842/91842	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-166c2%22	https://vectorbt.pro/pvt_41531c19/features/analysis/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/analysis/index.html	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:40:57	1514/1514	U-----	200	untouched ('')	image/png	etag:%2268f24fb6-5ea%22	https://vectorbt.pro/pvt_41531c19/assets/logo/favicon.png	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/logo/favicon.png	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:40:58	12641/12641	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-3161%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/palette.ab4e12ef.min.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/palette.ab4e12ef.min.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:40:58	140120/140120	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-22358%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/main.010a373c.min.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/main.010a373c.min.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:40:59	11281/11281	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-2c11%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/extra.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/extra.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:41:41	4646/4646	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-1226%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-light.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-light.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:41:41	4830/4830	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb6-12de%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-dark.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-dark.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:41:41	7688/7688	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-1e08%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-light.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-light.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:41:41	8137/8137	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb6-1fc9%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-dark.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-dark.css	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:41:42	179072/179072	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-2bb80%22	https://vectorbt.pro/pvt_41531c19/features/data/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/data/index.html	(from https://vectorbt.pro/pvt_41531c19/features/analysis/)
10:41:42	132346/132346	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-204fa%22	https://vectorbt.pro/pvt_41531c19/features/indicators/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/indicators/index.html	(from https://vectorbt.pro/pvt_41531c19/features/data/)
10:41:43	80034/80034	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-138a2%22	https://vectorbt.pro/pvt_41531c19/features/intelligence/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/intelligence/index.html	(from https://vectorbt.pro/pvt_41531c19/features/indicators/)
10:41:43	172930/172930	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-2a382%22	https://vectorbt.pro/pvt_41531c19/features/optimization/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/optimization/index.html	(from https://vectorbt.pro/pvt_41531c19/features/intelligence/)
10:41:44	106417/106417	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-19fb1%22	https://vectorbt.pro/pvt_41531c19/features/performance/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/performance/index.html	(from https://vectorbt.pro/pvt_41531c19/features/optimization/)
10:41:44	221052/221052	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-35f7c%22	https://vectorbt.pro/pvt_41531c19/features/portfolio/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/portfolio/index.html	(from https://vectorbt.pro/pvt_41531c19/features/performance/)
10:41:45	240146/240146	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-3aa12%22	https://vectorbt.pro/pvt_41531c19/features/productivity/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/productivity/index.html	(from https://vectorbt.pro/pvt_41531c19/features/portfolio/)
